Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
一	1		一	yī	one	one; a, an; alone	一點 一點兒 一些	yīdiǎn yīdiǎnr yīxiē	[sound:mp3/yi1.mp3]	5	ㄧ	ㄧ ㄉㄧㄢˇ  ㄧ ㄉㄧㄢˇㄦ˙  ㄧ ㄒㄧㄝ 	['㇐']	Although 一 is sometimes said to represent an outstretched finger, the phonetic evidence suggests the fundamental idea is that of its cognate 壹 (unity of contents). 一 may therefore be regarded as an abstract representation of unity, or fullness | *one*. 	images-large/4e00-large.gif
勺	2		勺	sháo	ladle	spoon, ladle; unit of volume			[sound:mp3/shao2.mp3]	4643	ㄕㄠˊ		['㇒', '㇆', '㇔']	A depiction of a slightly curved *spoon* or *ladle* + a stroke representing the contents of a container rising and becoming evident | *unit of capacity* (approximately 0.018 liters); *unit of area* (approximately 0.033 square meters). 	
口	3		口	kǒu	mouth	mouth; open end; entrance, gate	十字路口 門口 路口	shízìlùkǒu ménkǒu lùkǒu	[sound:mp3/kou3.mp3]	404	ㄎㄡˇ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄇㄣˊㄎㄡˇ  ㄌㄨ`ㄎㄡˇ	['㇑', '㇕', '㇐']	A depiction of a rounded cavity, and in particular the human *mouth* | *hole*; *entrance*. 口 can also function as a shape indicator. 	images-large/53e3-large.gif
日	4		日	rì	day	sun; day; daytime	日本 生日 星期日	Rìběn shēngrì Xīngqīrì	[sound:mp3/ri4.mp3]	124	ㄖ`	ㄖ`ㄅㄣˇ  ㄕㄥ ㄖ`  ㄒㄧㄥ ㄑㄧ ㄖ`	['㇑', '㇕', '㇐', '㇐']	A depiction of the *sun* | *day* (← appearance of the sun ushering in a new day). As with 熱, the heat of the sun was understood in terms of softening objects and/or reducing them in size. 	images-large/65e5-large.gif
白	5		白	bái	white	white; pure, unblemished; bright	白色 白白 白菜	báisè báibái báicài	[sound:mp3/bai2.mp3]	358	ㄅㄞˊ	ㄅㄞˊㄙㄜ`  ㄅㄞˊㄅㄞˊ  ㄅㄞˊㄘㄞ`	['㇒', '㇑', '㇕', '㇐', '㇐']	"A depiction of an acorn, a large number of which would be scattered over the ground. The meaning *white* is by association with the color of acorn meat. For ""large number,"" compare 百. "	images-large/767d-large.gif
的	6		的	de	bull's eye	possessive, adjectival suffix	別的 的話 目的	biéde dehuà mùdì	[sound:mp3/de1.mp3]	1	ㄉㄜ˙	ㄅㄧㄝˊㄉㄜ˙  ㄉㄜ˙ㄏㄨㄚ`  ㄇㄨ`ㄉㄧ`	['㇒', '㇑', '㇕', '㇐', '㇐', '㇒', '㇆', '㇔']	As per 勺# (rise and become evident) + 白 white (| color that stands out) | conspicuous *target*; *mark*; *objective* | *obvious*; *hit*; *-like*. 	images-large/7684-large.gif
止	7		止	zhǐ	stop	stop, halt, desist; detain	不止 防止 截止	bùzhǐ fángzhǐ jiézhǐ	[sound:mp3/zhi3.mp3]	765	ㄓˇ	ㄅㄨ`ㄓˇ  ㄈㄤˊㄓˇ  ㄐㄧㄝˊㄓˇ	['㇑', '㇐', '㇑', '㇐']	A depiction of a leg/foot come to a *stop*, making the body stand straight upright | servant standing straight (by) in awaiting orders (compare 寺). Also, *turn off* (← stop). 	images-large/6b62-large.gif
正	8		正	zhèng	correct	right, proper, correct	正在 真正 正常	zhèngzài zhēnzhèng zhèngcháng	[sound:mp3/zheng4.mp3]	125	ㄓㄥ`	ㄓㄥ`ㄗㄞ`  ㄓㄣ ㄓㄥ`  ㄓㄥ`ㄔㄤˊ	['㇐', '㇑', '㇐', '㇑', '㇐']	止# (stand straight) + a line | straight line | *punctual*; *right*; *correct*; *straighten*; *proper* (← abstract applications of the idea of straightness/uprightness; compare 是) | *surely*; *certainly*. 	images-large/6b63-large.gif
是	9		是	shì	be	indeed, yes, right; to be; demonstrative pronoun, this, that	可是 還是 總是	kěshì háishi zǒngshì	[sound:mp3/shi4.mp3]	2	ㄕ`	ㄎㄜˇㄕ`  ㄏㄞˊㄕ˙  ㄗㄨㄥˇㄕ`	['㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐', '㇒', '㇏']	The relevant bronzeware inscription form is 止# (stand straight) + a spoon/ladle | straight spoon/ladle | *correct*; *just*; *right* (← abstract applications of straightness/uprightness). 	images-large/662f-large.gif
卜	10		卜	bǔ	divination	fortune telling; prophesy			[sound:mp3/bu3.mp3]	2199	bǔ		['㇑', '㇔']	A depiction of cracks spreading over shells/bones burnt in a divination rite | *divination*; *fortune-telling*. 	images-large/535c-large.gif
不	11		不	bù	no	no, not; un-; negative prefix	對不起 不錯 不客氣	duìbuqǐ bùcuò bùkèqi	[sound:mp3/bu4.mp3]	3	ㄅㄨ`	ㄉㄨㄟ`ㄅㄨ˙ㄑㄧˇ  ㄅㄨ`ㄘㄨㄛ`  ㄅㄨ`ㄎㄜ`ㄑㄧ˙	['㇐', '㇒', '㇑', '㇔']	A depiction of a bulging, swollen bud (compare 芣). *Not* and *un-* are borrowed meanings (compare 拂 and 非). 	images-large/4e0d-large.gif
二	12		二	èr	two	two; twice			[sound:mp3/er4.mp3]	133	ㄦ`		['㇐', '㇐']	Parallel lines indicating *two* and suggesting an alignment of supple objects, along with the abstract sense of ongoing affinity. 	images-large/4e8c-large.gif
戈	13		戈	gē	halberd	halberd, spear, lance; rad. 62			[sound:mp3/ge1.mp3]	2382	ㄍㄜ		['㇐', '㇂', '㇒', '㇔']	A depiction of a long *halberd* with a curved handle and sharp blade | *spear*; *lance*. Also, *battle*. 	images-large/6208-large.gif
手	14		手	shǒu	hand	hand	手機 洗手間 手指	shǒujī xǐshǒujiān shǒuzhǐ	[sound:mp3/shou3.mp3]	151	ㄕㄡˇ	ㄕㄡˇㄐㄧ   ㄒㄧˇㄕㄡˇㄐㄧㄢ   ㄕㄡˇㄓˇ	['㇒', '㇐', '㇐', '㇚']	A depiction of a *hand* showing the five fingers in a curved, gripping position. Extended meanings include *arm*; *paw*; *foreleg*; *a handle*; *helper*; *a means*; *technique*; (in board games) *a move*; *a type*; *a direction*; and *handwriting*. 	images-large/624b-large.gif
我	15		我	wǒ	I	our, us, i, me, my, we	我們 自我	wǒmen zìwǒ	[sound:mp3/wo3.mp3]	4	ㄨㄛˇ	ㄨㄛˇㄇㄣ˙  ㄗ`ㄨㄛˇ	['㇒', '㇐', '㇚', '㇀', '㇂', '㇒', '㇔']	The relevant oracle bone form of this character is a variant of 戈 spear/halberd, indicating a weapon/knife with a serrated blade (i.e., a blade the teeth of which are in alignment). 	images-large/6211-large.gif
十	16		十	shí	ten	ten, tenth; complete; perfect	十字路口 十分 十足	shízìlùkǒu shífēn shízú	[sound:mp3/shi2.mp3]	163	ㄕˊ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄕˊㄈㄣ   ㄕˊㄗㄨˊ	['㇐', '㇑']	A depiction of objects pressed into a single unit in gathering | *ten* (← key unit in counting). 	images-large/5341-large.gif
人	17		人	rén	person	man; people; mankind; someone else	家人 工人 別人	jiārén gōngrén biéren	[sound:mp3/ren2.mp3]	9	ㄖㄣˊ	ㄐㄧㄚ ㄖㄣˊ  ㄍㄨㄥ ㄖㄣˊ  ㄅㄧㄝˊㄖㄣ˙	['㇓', '㇏']	A depiction of a standing *person* reaching toward another, suggesting people in mutable interaction | *human* (being). Compare 仁. In dual-element characters, 人 nearly always appears on the left in the form 亻. In many such characters (價 儗 仰 儆 偃 儀 etc.), 人 suggests human agency, but there are others in which 人 has no semantic function at all. In these cases (伎 優 供 佑  傾 佹 etc.), 人 is used simply to create a derivative character conveying meanings that dropped from the original one. 	images-large/4eba-large.gif
又	18		又	yòu	again	and, also, again, in addition			[sound:mp3/you4.mp3]	139	ㄧㄡ`		['㇇', '㇏']	A depiction of a person's right arm contracted in surrounding or protecting an object resting on the shoulders | *above*; *beyond* | *again*; *moreover*; *or*. 	images-large/53c8-large.gif
月	19		月	yuè	month	moon; month; KangXi radical 74	月亮 月餅 月份	yuèliang yuèbǐng yuèfèn	[sound:mp3/yue4.mp3]	214	ㄩㄝ`	ㄩㄝ`ㄌㄧㄤ˙  ㄩㄝ`ㄅㄧㄥˇ  ㄩㄝ`ㄈㄣ`	['㇓', '㇆', '㇐', '㇐']	A depiction of a crescent *moon*, observed as a scooped-out portion of the full moon | *month*. *Monday* is a borrowed meaning. 	images-large/6708-large.gif
肉	20		肉	ròu	meat	flesh; meat; KangXi radical 130	肌肉 烤肉 肉麻	jīròu kǎoròu ròumá	[sound:mp3/rou4.mp3]	900	ㄖㄡ`	ㄐㄧ ㄖㄡ`  ㄎㄠˇㄖㄡ`  ㄖㄡ`ㄇㄚˊ		A depiction of a slab of soft animal *meat* with the veins exposed | *flesh*. 	images-large/8089-large.gif
有	21		有	yǒu	possess	have, own, possess; exist	有趣 有時候 有用	yǒuqù yǒushíhou yǒuyòng	[sound:mp3/you3.mp3]	6	ㄧㄡˇ	ㄧㄡˇㄑㄩ`  ㄧㄡˇㄕˊㄏㄡ˙  ㄧㄡˇㄩㄥ`	['㇐', '㇒', '㇑', '㇆', '㇐', '㇐']	The relevant seal inscription form is as per 又# (right hand/arm) + 肉 flesh | extend the right hand/arm in shouldering a slab of meat | *have* (← hold) | *be*; *exist* (← have being ← have form ← object in a fixed point of space; compare 居, 在, and 存). 	images-large/6709-large.gif
大	22		大	dà	large	big, great, vast, large, high	大學 大家 大人	Dàxué dàjiā dàren	[sound:mp3/da4.mp3]	7	ㄉㄚ`	ㄉㄚ`ㄒㄩㄝˊ  ㄉㄚ`ㄐㄧㄚ   ㄉㄚ`ㄖㄣ˙	['㇐', '㇓', '㇏']	A depiction of a person standing greatly outstretched, reducing the distance between oneself and others | *big*; *large*; *great*; *full*; *spacious* | *extremely*; *too*; *excellent*; *general*. 	images-large/5927-large.gif
土	23		土	tǔ	soil	soil, earth; items made of earth	土地 本土 領土	tǔdì běntǔ lǐngtǔ	[sound:mp3/tu3.mp3]	674	ㄊㄨˇ	ㄊㄨˇㄉㄧ`  ㄅㄣˇㄊㄨˇ  ㄌㄧㄥˇㄊㄨˇ	['㇐', '㇑', '㇐']	A depiction of a pile of *earth*. 	images-large/571f-large.gif
才	24		才	cái	genius	talent, ability; just, only	剛才 才能 口才	gāngcái cáinéng kǒucái	[sound:mp3/cai2.mp3]	172	ㄘㄞˊ	ㄍㄤ ㄘㄞˊ  ㄘㄞˊㄋㄥˊ  ㄎㄡˇㄘㄞˊ	['㇐', '㇚', '㇒']	A depiction of rocks piled to cut off/dam a river | *stop/cut off* | *a little*; *for the first time*. *Genius* and *ability* are borrowed meanings, as is (number of) *years old*. 	images-large/624d-large.gif
在	25		在	zài	at	be at, in, on; consist in, rest	現在 正在 存在	xiànzài zhèngzài cúnzài	[sound:mp3/zai4.mp3]	8	ㄗㄞ`	ㄒㄧㄢ`ㄗㄞ`  ㄓㄥ`ㄗㄞ`  ㄘㄨㄣˊㄗㄞ`	['㇐', '㇒', '㇑', '㇐', '㇑', '㇐']	The relevant seal inscription form is 才# cut off + 土 earth | pile earth to cut off the flow of a river. *Be*, *exist*, *location*, *stay*, *be alive*, and *in* are extended meanings (← be fixed  firmly in one place; compare 居, 有, and 存) | *country(side)* (← permanence of rural abodes). 	images-large/5728-large.gif
了	26		了	le	(-ed)	to finish; particle of completed action	了解 怎麼了 為了	liǎojiě zěnmele wèile	[sound:mp3/le1.mp3]	10	ㄌㄜ˙	ㄌㄧㄠˇㄐㄧㄝˇ  ㄗㄣˇㄇㄜ˙ㄌㄜ˙  ㄨㄟ`ㄌㄜ˙	['㇖', '㇚']	A depiction of a long object such as a thread rolled back upon itself | *completion* (← roll up a lengthy object) | *comprehend* (← complete the process of understanding, and comprehend). 	images-large/4e86-large.gif
中	27		中	zhōng	middle	central; center, middle; in the midst of; hit (target); attain	中國 中午 中學	Zhōngguó zhōngwǔ zhōngxué	[sound:mp3/zhong1.mp3]	11	ㄓㄨㄥ	ㄓㄨㄥ ㄍㄨㄛˊ  ㄓㄨㄥ ㄨˇ  ㄓㄨㄥ ㄒㄩㄝˊ	['㇑', '㇕', '㇐', '㇑']	The relevant oracle bone form of this character shows banners centered on the flagpole run through them | *center/middle* | *inside* | *throughout*; *including*; *the mean*. 	images-large/4e2d-large.gif
至	28		至	zhì	until	reach, arrive; extremely, very	甚至 至少 至於	shènzhì zhìshǎo zhìyú	[sound:mp3/zhi4.mp3]	247	ㄓ`	ㄕㄣ`ㄓ`  ㄓ`ㄕㄠˇ  ㄓ`ㄩˊ	['㇐', '㇜', '㇔', '㇐', '㇑', '㇐']	The relevant oracle bone form of this character depicts 矢# arrow arriving at a target, its *stopping  point* | *arrive*; *reach*; *lead to*; *proceed*; *come*; *extend to* | *come to do*; *bring about*; *result in*. In derivative characters such as 疾, 耋, 銍 and 絰, 至 suggests specifically the stopping point of a life. 	images-large/81f3-large.gif
刀	29		刀	dāo	sword	knife; old coin; measure	刀子 剪刀 開刀	dāozi jiǎndāo kāidāo	[sound:mp3/dao1.mp3]	940	ㄉㄠ	ㄉㄠ ㄗ˙  ㄐㄧㄢˇㄉㄠ   ㄎㄞ ㄉㄠ 	['㇆', '㇓']	A depiction of a *sword* with a curved blade. When used as an element in dual-element characters, 刀 more often refers to a knife or cutting implement than to a sword. 	images-large/5200-large.gif
到	30		到	dào	arrive	go to, arrive, been to	遲到 到處 到底	chídào dàochù dàodǐ	[sound:mp3/dao4.mp3]	12	ㄉㄠ`	ㄔˊㄉㄠ`  ㄉㄠ`ㄔㄨ`  ㄉㄠ`ㄉㄧˇ	['㇐', '㇜', '㇔', '㇐', '㇑', '㇐', '㇑', '㇚']	As per 刀# (curve) + 至 arrive | arrive via a route that traces an arc | *arrive at*; *reach*. 	images-large/5230-large.gif
八	31		八	bā	eight	eight; all around, all sides	八卦 八字	bāguà bāzì	[sound:mp3/ba1.mp3]	419	ㄅㄚ	ㄅㄚ ㄍㄨㄚ`  ㄅㄚ ㄗ`	['㇒', '㇝']	Two curved lines bending away from each other, suggesting the idea of splitting away to right and left | *divide/part from* right and left. *Eight* is either a borrowed meaning or may be regarded as having been considered the single-digit number divisible by two the greatest number of times. 	images-large/516b-large.gif
欠	32		欠	qiàn	lack	owe, lack, be deficient; KangXi radical number 76			[sound:mp3/qian4.mp3]	2056	ㄑㄧㄢ`		['㇒', '㇖', '㇓', '㇏']	A depiction of a bent, open-mouthed figure (with food contained in the mouth) | *yawn* (← open mouth). 欠 now also bears the senses of 缺 (hole scooped into earthenware to create a container), accounting for the meanings *scoop out* | *lack*; *miss/be missing*; *break* (off); *chip* (off); *broken piece*; *fragment* | *flaw*. 	images-large/6b20-large.gif
目	33		目	mù	eye	eye; look, see; division, topic	節目 目的 目前	jiémù mùdì mùqián	[sound:mp3/mu4.mp3]	249	ㄇㄨ`	ㄐㄧㄝˊㄇㄨ`  ㄇㄨ`ㄉㄧ`  ㄇㄨ`ㄑㄧㄢˊ	['㇑', '㇕', '㇐', '㇐', '㇐']	A depiction of an *eye*, originally one covered by a curving eyelid directly above it | *look*; *mark* | *point*; *classification*; *ordinal ending*. 	images-large/76ee-large.gif
次	34		次	cì	next	order, sequence; next	其次 次數 場次	qícì cìshù chǎngcì	[sound:mp3/ci4.mp3]	152	ㄘ`	ㄑㄧˊㄘ`  ㄘ`ㄕㄨ`  ㄔㄤˇㄘ`	['㇔', '㇀', '㇒', '㇖', '㇓', '㇏']	The relevant bronzeware inscription form is 二# (align) + 欠 bent, open-mouthed figure | bend/kneel in aligning small objects | *order*; *sequence* (← place things in precise order) | *next*; *follow*; *after that*; *counter* (for times/matters). In dual-element characters 次 is sometimes written in the form seen for example in 恣. 	images-large/6b21-large.gif
貝	35		贝	bèi	shellfish	sea shell; money, currency	寶貝 貝殼 分貝	bǎobèi bèiké fēnbèi	[sound:mp3/bei4.mp3]	1228	ㄅㄟ`	ㄅㄠˇㄅㄟ`  ㄅㄟ`ㄎㄜˊ  ㄈㄣ ㄅㄟ`	['㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	"A depiction of a bivalve (one split open to reveal its contents) | *shellfish*; (sea) *shell* | *treasure*. When used in dual-element characters, 貝 most often denotes ""commodities"" (shells having anciently been used as currency), but this is not an independent meaning in Japanese. "	images-large/8d1d-large.gif
資	36		资	zī	assets	property; wealth; capital	投資 資料 資源	tóuzī zīliào Zīyuán	[sound:mp3/zi1.mp3]	13	ㄗ	ㄊㄡˊㄗ   ㄗ ㄌㄧㄠ`  ㄗ ㄩㄢˊ	['㇔', '㇀', '㇒', '㇖', '㇓', '㇏', '㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔']	As per 次# (align) + 貝 commodities | have one's assets in proper alignment | *resources*/*capital* | *grounds*; *basis*; *one's nature*; *financial assistance*. 	images-large/8d44-large.gif
弓	37		弓	gōng	bow	bow; curved, arched; KangXi radical number 57			[sound:mp3/gong1.mp3]	2472	ㄍㄨㄥ		['㇕', '㇐', '㇉']	A depiction of a bowstring stretching between the two ends of its flexible, curved *bow*. 	images-large/5f13-large.gif
兀	38		兀	wù		to cut off the feet	突兀	tūwù	[sound:mp3/wu4.mp3]	3743	ㄨ`	ㄊㄨ ㄨ`	['㇐', '㇓', '㇟']	一# (fullness) + 儿 person | raise a prisoner's/captive's head fully (to shave it in punishment) | *thrust high/tall*. 	images-large/5140-large.gif
女	39		女	nǚ	woman	woman, girl; feminine; rad. 38	女兒 女生 女人	nǚér nǚshēng nǚrén	[sound:mp3/nuu3.mp3]	143	undefinedˇ	undefinedˇㄦˊ  undefinedˇㄕㄥ   undefinedˇㄖㄣˊ	['㇛', '㇒', '㇐']	A depiction of a supple *woman*. 	images-large/5973-large.gif
西	40		西	xī	west	west(ern); westward, occident	東西 西部 西邊	dōngxī xībù xībiān	[sound:mp3/xi1.mp3]	312	ㄒㄧ	ㄉㄨㄥ ㄒㄧ   ㄒㄧ ㄅㄨ`  ㄒㄧ ㄅㄧㄢ 	['㇐', '㇑', '㇕', '㇓', '㇄', '㇐']	"A depiction of a nest in which chicks are neatly aligned. *West* is either a borrowed or an extended meaning; in the latter case the idea might be that of the reddish sun aligned with the horizon at sunset. (For ""reddish,"" compare 茜.) By further extension is *the Pure Land*, Buddhism having entered China from lands west. "	images-large/897f-large.gif
要	41		要	yào	want	necessary, essential; necessity	重要 需要 要是	zhòngyào xūyào yàoshi	[sound:mp3/yao4.mp3]	14	ㄧㄠ`	ㄓㄨㄥ`ㄧㄠ`  ㄒㄩ ㄧㄠ`  ㄧㄠ`ㄕ˙	['㇐', '㇑', '㇕', '㇑', '㇑', '㇐', '㇛', '㇒', '㇐']	The relevant bronzeware inscription form is 女 woman + an element combining a pair of hands and a backbone | compress a woman's waist, creating curvaceous hips | waist; hips | *main point*; *vital* (← hips as the pivot point of the body) | *brief*; *sum up*; *in short*. Also, *demand* (← demand that which is vital to one) | *want*; *need*; *require*. 	images-large/8981-large.gif
以	42		以	yǐ	by means of	by means of; thereby, therefore; consider as; in order to	可以 以前 以後	kěyǐ yǐqián yǐhòu	[sound:mp3/yi3.mp3]	15	ㄧˇ	ㄎㄜˇㄧˇ  ㄧˇㄑㄧㄢˊ  ㄧˇㄏㄡ`	['㇙', '㇔', '㇓', '㇔']	Originally, an abbreviated form# of 台 (plow furrows) + 人 person (| human agency) | *use* a plow to plow furrows | *with*; *by*; *from* (← create furrows with/by means of a plow). 	images-large/4ee5-large.gif
丁	43		丁	dīng	fourth	male adult; robust, vigorous; 4th heavenly stem			[sound:mp3/ding1.mp3]	1324	ㄉㄧㄥ		['㇐', '㇚']	The relevant oracle bone form of this character shows the head of a nail driven straight into an object | raise a hammer and strike straight down on a nail. A seal inscription form depicts a nail at a right angle to a surface | T shape | *counter* (for city blocks, or blocks of tofu; or for the two sides of a page of text) (← shape of character) | *unit of length* (about 109 meters). *Fourth in a series* and *fourth calendar sign* are borrowed meanings. 	images-large/4e01-large.gif
可	44		可	kě	can	may, can, -able; possibly	可以 可是 可能	kěyǐ kěshì kěnéng	[sound:mp3/ke3.mp3]	16	ㄎㄜˇ	ㄎㄜˇㄧˇ  ㄎㄜˇㄕ`  ㄎㄜˇㄋㄥˊ	['㇐', '㇚', '㇑', '㇕', '㇐']	The relevant oracle bone form of this character is a representation of a bent hook + 口 mouth | bend/cup a hand about the mouth to amplify the voice in shouting | shout/laugh/sing in a loud voice. *Possible* is an extended meaning (← make it possible to be heard at a distance), with *approve* by further extension (← approve of what has been made possible). 	images-large/53ef-large.gif
立	45		立	lì	standing up	stand; let stand; establish, set	建立 立刻 成立	jiànlì lìkè chénglì	[sound:mp3/li4.mp3]	248	ㄌㄧ`	ㄐㄧㄢ`ㄌㄧ`  ㄌㄧ`ㄎㄜ`  ㄔㄥˊㄌㄧ`	['㇔', '㇐', '㇔', '㇒', '㇐']	The relevant oracle bone form of this character shows a standing figure who exerts continuous downward pressure on the ground | *stand* | *arise*; *raise*; *erect*. 	images-large/7acb-large.gif
言	46		言	yán	say	words, speech; speak, say	語言 留言 總而言之	yǔyán liúyán zǒngéryánzhī	[sound:mp3/yan2.mp3]	280	ㄧㄢˊ	ㄩˇㄧㄢˊ  ㄌㄧㄡˊㄧㄢˊ  ㄗㄨㄥˇㄦˊㄧㄢˊㄓ 	['㇔', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐']	The relevant oracle bone form of this character is 辛# needle/cutting tool + 口 mouth | *speak* sharply/distinctly, the tongue likened to a needle in the mouth | *words*; *say*; *talk*; *tell*; *express*; *order*; *call*; *mean*; *speech*. 	images-large/8a00-large.gif
這	47		这	zhè	this	this, the, here	這裡 這兒 這邊	zhèlǐ zhèr zhèbiān	[sound:mp3/zhe4.mp3]	17	ㄓㄜ`	ㄓㄜ`ㄌㄧˇ  ㄓㄜ`ㄦ˙  ㄓㄜ`ㄅㄧㄢ 	['㇔', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇔', '㇕', '㇝']	辵 movement + 言# words | meet, then speak. *This* and *crawl* are borrowed meanings. 	images-large/8fd9-large.gif
古	48		古	gǔ	ancient	old, classic, ancient	古代 古老 古典	gǔdài gǔlǎo gǔdiǎn	[sound:mp3/gu3.mp3]	626	ㄍㄨˇ	ㄍㄨˇㄉㄞ`  ㄍㄨˇㄌㄠˇ  ㄍㄨˇㄉㄧㄢˇ	['㇐', '㇑', '㇑', '㇕', '㇐']	The relevant oracle bone form of 古 combines 口 mouth + an object filling it | expectorate *old*, *dried out*, *hard* food | *dry up*; *stale* | *used*; *old-fashioned*. 	images-large/53e4-large.gif
固	49		固	gù	solid	to become solid, solidify; strength	固定 膽固醇 鞏固	gùdìng dǎngùchún gǒnggù	[sound:mp3/gu4.mp3]	1332	ㄍㄨ`	ㄍㄨ`ㄉㄧㄥ`  ㄉㄢˇㄍㄨ`ㄔㄨㄣˊ  ㄍㄨㄥˇㄍㄨ`	['㇑', '㇕', '㇐', '㇑', '㇑', '㇕', '㇐', '㇐']	古# hard; dried out + 囗 circular enclosure | harden about an object | *hard/harden*; *stiff/stiffen* | *resolute*; *stubborn*. Other extended meanings include *tight*, *firm*, *rigid*, *strict*, *solid*, *jell*, *fortify*, *collect*, *settle*, and *settle down*. 	images-large/56fa-large.gif
個	50		个	gè	individual	numerary adjunct, piece; single	個人 個子 個別	gèrén gèzi gèbié	[sound:mp3/ge4.mp3]	18	ㄍㄜ`	ㄍㄜ`ㄖㄣˊ  ㄍㄜ`ㄗ˙  ㄍㄜ`ㄅㄧㄝˊ	['㇒', '㇑', '㇑', '㇕', '㇐', '㇑', '㇑', '㇕', '㇐', '㇐']	As per 固# (hardened/hard object) + 人 person | objects and people distinguished one by one (compare 箇 as well as 各) | *individual*; *item* | *counter*. 	images-large/4e2a-large.gif
小	51		小	xiǎo	small	small, tiny, insignificant	小姐 小時 小孩	xiǎojie xiǎoshí xiǎohái	[sound:mp3/xiao3.mp3]	50	ㄒㄧㄠˇ	ㄒㄧㄠˇㄐㄧㄝ˙  ㄒㄧㄠˇㄕˊ  ㄒㄧㄠˇㄏㄞˊ	['㇚', '㇒', '㇔']	A depiction of small and curled, whittled shavings | *small*; *little*; *infant*; *a little bit*. 	images-large/5c0f-large.gif
你	52		你	nǐ	you	you, second person pronoun	你們	nǐmen	[sound:mp3/ni3.mp3]	19	ㄋㄧˇ	ㄋㄧˇㄇㄣ˙	['㇒', '㇑', '㇒', '㇖', '㇚', '㇒', '㇔']	尓# (= 爾) (adhere) + 人 person | person with close and ongoing relations with oneself | *you*. Compare 儂. Note the variant form 儞. 	images-large/4f60-large.gif
曾	53		曾	céng	formerly	already; sign of past	曾經	céngjīng	[sound:mp3/ceng2.mp3]	389	ㄘㄥˊ	ㄘㄥˊㄐㄧㄥ 		A depiction of a cooking pot with a steaming basket atop, from which slender wisps of steam arise and figuratively pile upon each other | *once*; *before*; *at one time*; *formerly* (← prior ← prior wisp of steam). 	images-large/66fe-large.gif
會	54		会	huì	meeting	to assemble, meet together; a meeting; an organization	晚會 一會兒 開會	wǎnhuì yīhuìr kāihuì	[sound:mp3/hui4.mp3]	20	ㄏㄨㄟ`	ㄨㄢˇㄏㄨㄟ`  ㄧ ㄏㄨㄟ`ㄦ˙  ㄎㄞ ㄏㄨㄟ`	['㇒', '㇏', '㇐', '㇑', '㇕', '㇑', '㇔', '㇒', '㇐', '㇑', '㇕', '㇐', '㇐']	The relevant seal inscription form is a variant form of 介# (reduce) + 曾 (pile | mass) | mass gathering that reduces/eliminates space | *meet*; *assemble* | (conduct an) *interview*. 	images-large/4f1a-large.gif
子	55		子	zi	child	offspring, child; fruit, seed of; 1st terrestrial branch	車子 孩子 兒子	chēzi háizi érzi	[sound:mp3/zi1.mp3]	63	ㄗ˙	ㄔㄜ ㄗ˙  ㄏㄞˊㄗ˙  ㄦˊㄗ˙	['㇖', '㇚', '㇐']	子 is the single remaining form of two distinct oracle bone depictions of a small child. One shows a small child, while the second shows a child with rapidly growing hair | *child*; *son*; *boy*; *person*; *suffix appended to small objects*. Conceptually, a child was understood as one of a figurative pile of offspring. *Rat* (as the first sign of the Chinese zodiac), *north*, and *11 P.M. to 1 A.M.* are borrowed meanings. The Old Chinese readings of the two glyphs featured different vowels. 	images-large/5b50-large.gif
好	56		好	hǎo	good	good, excellent, fine; well	好看 好吃 不好意思	hǎokàn hǎochī bùhǎoyìsi	[sound:mp3/hao3.mp3]	21	ㄏㄠˇ	ㄏㄠˇㄎㄢ`  ㄏㄠˇㄔ   ㄅㄨ`ㄏㄠˇㄧ`ㄙ˙	['㇛', '㇒', '㇐', '㇖', '㇚', '㇐']	子# child + 女 woman | woman clasping a child | *like*; *love* | *desirable*; *favorable*; *fondness*; *pleasing*; *fine*; *taste*; *choice*; *preference*. 	images-large/597d-large.gif
爪	57		爪	zhǎo	claw	claw, nail, talon; animal feet			[sound:mp3/zhao3.mp3]	2678	ㄓㄠˇ		['㇒', '㇓', '㇑', '㇏']	A depiction of fingers curled about an object such as fruit in picking, plucking or pinching it. Although 爪 originally referred to picking up/at with the fingers, it eventually came to refer to the *nails* | *claw*; *scratch (at)*. 	images-large/722a-large.gif
火	58		火	huǒ	fire	fire, flame; burn; anger, rage	火車 煙火 火柴	huǒchē yānhuǒ huǒchái	[sound:mp3/huo3.mp3]	527	ㄏㄨㄛˇ	ㄏㄨㄛˇㄔㄜ   ㄧㄢ ㄏㄨㄛˇ  ㄏㄨㄛˇㄔㄞˊ	['㇔', '㇒', '㇓', '㇏']	A depiction of an arching *fire* that covers and consumes objects in flames. 	images-large/706b-large.gif
