Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
豬	1135		猪	zhū	pig	pig, hog			[sound:mp3/zhu1.mp3]	974	ㄓㄨ		['㇐', '㇒', '㇁', '㇒', '㇒', '㇒', '㇏', '㇐', '㇑', '㇐', '㇒', '㇑', '㇕', '㇐', '㇐']		images-large/732a-large.gif
齊	1136		齐	qí	identical	even, uniform, of equal length	整齊 齊全 一齊	zhěngqí qíquán yīqí	[sound:mp3/qi2.mp3]	1381	ㄑㄧˊ	ㄓㄥˇㄑㄧˊ  ㄑㄧˊㄑㄩㄢˊ  ㄧ ㄑㄧˊ		The relevant oracle bone form of 齊 shows three slender, diamond-shaped objects arranged/aligned neatly. A bronzeware inscription form adds 二# (align), while a seal inscription form transforms 二 into a board (or a piece of cloth; in either case acting to represent things in general; compare 牛 in 物, and 半) | *equality*; *arrange*; *neater*; *all together* (← match up/align). 	images-large/9f50-large.gif
濟	1137		济	jì	relieve	to help, aid, relieve; to ferry, cross	經濟 救濟	jīngjì jiùjì	[sound:mp3/ji4.mp3]	975	ㄐㄧ`	ㄐㄧㄥ ㄐㄧ`  ㄐㄧㄡ`ㄐㄧ`		As per 齊# (align) + 水 water | goods in alignment on opposite sides of a river | *ferry* (across); *cross* (a river); *pass safely* | *relieve*; *aid*; *help* (← ferry material aid) | *manage* (to do/with); *finish*; *be over/at an end* | *economic management*; *settle an account*; *pay* | *settle* (a matter). Also, *do without* (← manage to do without) and *adjust*. 	images-large/6d4e-large.gif
架	1138		架	jià	shelf	rack, stand, prop; prop up	吵架 打架 書架	chǎojià dǎjià shūjià	[sound:mp3/jia4.mp3]	976	ㄐㄧㄚ`	ㄔㄠˇㄐㄧㄚ`  ㄉㄚˇㄐㄧㄚ`  ㄕㄨ ㄐㄧㄚ`	['㇆', '㇓', '㇑', '㇕', '㇐', '㇐', '㇑', '㇒', '㇏']	As per 加# (place atop) + 木 tree/wood | wooden framework atop which something is constructed | *put on*; *build* | *span*; *bridge girder*. 	images-large/67b6-large.gif
享	1139		享	xiǎng	enjoy	enjoy	享受 享有 分享	xiǎngshòu xiǎngyǒu fēnxiǎng	[sound:mp3/xiang3.mp3]	977	ㄒㄧㄤˇ	ㄒㄧㄤˇㄕㄡ`  ㄒㄧㄤˇㄧㄡˇ  ㄈㄣ ㄒㄧㄤˇ	['㇔', '㇐', '㇑', '㇕', '㇐', '㇖', '㇚', '㇐']	A depiction of one of a pair of gates positioned at opposite ends of an enclosure | *entertain guests*; *enjoy* (← entertainment taking place in such a structure) | *receive* (entertainment/a privilege etc.) (← be the recipient of entertainment). 	images-large/4eab-large.gif
訓	1140		训	xùn	instruction	teach, instruct; exegesis	教訓 訓練 培訓	jiàoxun xùnliàn péixùn	[sound:mp3/xun4.mp3]	979	ㄒㄩㄣ`	ㄐㄧㄠ`ㄒㄩㄣ˙  ㄒㄩㄣ`ㄌㄧㄢ`  ㄆㄟˊㄒㄩㄣ`	['㇔', '㇐', '㇐', '㇐', '㇑', '㇕', '㇐', '㇓', '㇑', '㇑']	As per 川# (bore through) + 言 words | (a) *teaching* (← words that allow one to bore through a difficult problem) | *interpret*; *KUN reading* of a Han/Chinese character (← grasp the signification of a character ← comprehend in learning; the contrast is to 音, where the idea is to read a character for its sound). 	images-large/8bad-large.gif
監	1141		监	jiān	supervise	supervise, control, direct	監視 監獄 監督	jiānshì jiānyù jiāndū	[sound:mp3/jian1.mp3]	1567	ㄐㄧㄢ	ㄐㄧㄢ ㄕ`  ㄐㄧㄢ ㄩ`  ㄐㄧㄢ ㄉㄨ 		The relevant seal inscription form is 臥 lie face down + an element# combining 皿 dish/plate/bowl and a line above it indicating water | lie face down and observe the reflection of one's face in water contained in a bowl/container | *keep watch over*; *supervise*. Compare 督 and 臨. 	images-large/76d1-large.gif
藍	1142		蓝	lán	blue	blue; indigo plant; surname	藍色	lánsè	[sound:mp3/lan2.mp3]	980	ㄌㄢˊ	ㄌㄢˊㄙㄜ`		As per 監# (bowl/container) + 艸 grass/plant | *indigo* dye extracted from plant matter then allowed to run into a bowl or container. 	images-large/84dd-large.gif
劃	1143		划	huà	scratch	divide, mark off, lay boundary	計劃 規劃 策劃	jìhuà guīhuà cèhuà	[sound:mp3/hua4.mp3]	981	ㄏㄨㄚ`	ㄐㄧ`ㄏㄨㄚ`  ㄍㄨㄟ ㄏㄨㄚ`  ㄘㄜ`ㄏㄨㄚ`		畫# demarcate/mark off + 刀 sword/knife | *demarcate*/*mark off* with a bladed implement | *divide*. 	images-large/5212-large.gif
詹	1144		詹	zhān	verbose	surname; talk too much, verbose			[sound:mp3/zhan1.mp3]	2372	ㄓㄢ			厃# combines 厂 cliff (immediately beneath which objects adhere) + a crouching person | person crouched atop a cliff, hidden from the sight of those below. Later, crouching became associated with the idea of slumping in shouldering a burden. The original form of 詹 adds 言 words | bear/endure the burden of another person's *annoyingly verbose* speech | *harp on*. 詹 acquired the element 八, a graphic accretion unrelated to the character's etymology. 	images-large/8a79-large.gif
擔	1145		担	dān	assume	carry, bear, undertake	擔心 擔任 負擔	dānxīn dānrèn fùdān	[sound:mp3/dan1.mp3]	982	ㄉㄢ	ㄉㄢ ㄒㄧㄣ   ㄉㄢ ㄖㄣ`  ㄈㄨ`ㄉㄢ 		As per 詹# (bear a burden) + 手 hand/action indicator | *shoulder a load*; *load*; *bear*; *undertake*. 	images-large/62c5-large.gif
努	1146		努	nǔ	toil	to exert, strive, make an effort; to pout	努力	nǔlì	[sound:mp3/nu3.mp3]	983	ㄋㄨˇ	ㄋㄨˇㄌㄧ`	['㇛', '㇒', '㇐', '㇇', '㇏', '㇆', '㇓']	As per 奴# (strenuous activity) + 力 power/energy | *strive*/make great exertions | *exert oneself*. 	images-large/52aa-large.gif
郭	1147		郭	guō	outer walls	outer part (of a city); surname			[sound:mp3/guo1.mp3]	984	ㄍㄨㄛ		['㇔', '㇐', '㇑', '㇕', '㇐', '㇖', '㇚', '㇐', '㇌', '㇑']	As per 享 (enclosure) + 邑 village/settlement | *enclosure* about a village/settlement | *quarters*; *red-light district*. The phonetic evidence suggests that the 享 element in 郭 has replaced a graphically similar element indicating a circular enclosure; compare 或. 	images-large/90ed-large.gif
兼	1148		兼	jiān	double	unite, combine; connect; and	兼職	jiānzhí	[sound:mp3/jian1.mp3]	1526	ㄐㄧㄢ	ㄐㄧㄢ ㄓˊ	['㇔', '㇒', '㇐', '㇕', '㇐', '㇐', '㇑', '㇑', '㇒', '㇏']	The relevant seal inscription form shows two ears of grain + a hand | storehouse encompassing grain that has been gathered then stored/put away | *combine*; *unite*; *serve/perform concurrently*; *simultaneous*. *Unable to do* is a borrowed meaning. In derivative characters, 兼 may also appear in the form seen for example in 嗛, 歉 or 賺. 	images-large/517c-large.gif
歉	1149		歉	qiàn	apology	deficient, lacking, insufficient	道歉 歉意 抱歉	dàoqiàn qiànyì bàoqiàn	[sound:mp3/qian4.mp3]	985	ㄑㄧㄢ`	ㄉㄠ`ㄑㄧㄢ`  ㄑㄧㄢ`ㄧ`  ㄅㄠ`ㄑㄧㄢ`	['㇔', '㇒', '㇐', '㇕', '㇐', '㇐', '㇑', '㇑', '㇒', '㇏', '㇒', '㇖', '㇓', '㇏']	兼 here an abbreviated form# of 慊 unsatisfactory + 欠 bent, open-mouthed figure | an *unsatisfactory* state of *insufficient* provisions. 	images-large/6b49-large.gif
紙	1150		纸	zhǐ	paper	paper	報紙 衛生紙 紙張	bàozhǐ wèishēngzhǐ zhǐzhāng	[sound:mp3/zhi3.mp3]	986	ㄓˇ	ㄅㄠ`ㄓˇ  ㄨㄟ`ㄕㄥ ㄓˇ  ㄓˇㄓㄤ 	['㇜', '㇜', '㇔', '㇔', '㇔', '㇔', '㇒', '㇙', '㇐', '㇂']	As per 氏# (flat) + 糸 thread | combed fibers pulled together and flattened into *paper* | *newspaper*. 	images-large/7eb8-large.gif
貼	1151		贴	tiē	paste	paste to, stick on; attached to	體貼 貼心 津貼	tǐtiē tiēxīn jīntiē	[sound:mp3/tie1.mp3]	987	ㄊㄧㄝ	ㄊㄧˇㄊㄧㄝ   ㄊㄧㄝ ㄒㄧㄣ   ㄐㄧㄣ ㄊㄧㄝ 	['㇑', '㇕', '㇐', '㇐', '㇐', '㇒', '㇔', '㇑', '㇐', '㇑', '㇕', '㇐']	As per 占# (fixed in place) + 貝 commodities | commodities that secure/fix a loan in place | security; mortgage. Also, *put/stick on*, *paste* and *post* (← fix in place). 	images-large/8d34-large.gif
暗	1152		暗	àn	dark	dark; obscure; in secret, covert	暗中 黑暗 暗暗	ànzhōng hēiàn ànàn	[sound:mp3/an4.mp3]	988	ㄢ`	ㄢ`ㄓㄨㄥ   ㄏㄟ ㄢ`  ㄢ`ㄢ`	['㇑', '㇕', '㇐', '㇐', '㇔', '㇐', '㇔', '㇒', '㇐', '㇑', '㇕', '㇐', '㇐']	As per 音# (indistinct) + 日 sun/day | scant light | *dark*; *dim* | *secretly*; *hidden*; *gloomy*; *ignorant*. 	images-large/6697-large.gif
呼	1153		唿	hū	shout	breathe sigh, exhale; call, shout	打招呼 呼吸 歡呼	dǎzhāohu hūxī huānhū	[sound:mp3/hu1.mp3]	989	ㄏㄨ	ㄉㄚˇㄓㄠ ㄏㄨ˙  ㄏㄨ ㄒㄧ   ㄏㄨㄢ ㄏㄨ 	['㇑', '㇕', '㇐', '㇒', '㇔', '㇒', '㇐', '㇚']	乎# exclamation + 口 mouth (for emphasis/clarification) | *call*; *call out* | *call/send for* | *summon*; *invite* | *bring about*; *arouse*; *attract* (← action that attracts/brings about a response). 	
